company,Education,experience,industry,jobid,joblocation_address,jobtitle,numberofpositions,payrate,postdate,Degree_PG,Degree_UG
National Institute of Industrial Engineering,Postgraduation,6 - 11 yrs,Education,1.71E+11,Mumbai,Associate Professor - Corporate Strategy,1,Pay Scale: PB-4 (Rs.37400-67000) with AGP of Rs.9500/- p.m.,5/17/16,Post Graduate,
Indian Institute of Technology Bombay,Postgraduation,10 - 15 yrs,Education,1.61E+11,Mumbai,Professor - Research Methods,1,"Pay Band: PB4 (Rs.3740067000) with Academic Grade Pay of Rs.10,500/p.m.",8/16/16,Post Graduate,
Unitforce technologies Pvt. Ltd.,Any Graduate,2 - 4 yrs,IT Software Services,1.01E+11,Mumbai,Desktop Support Engineer,1,Not Disclosed by Recruiter,11/09/2016,,
National Institute of Industrial Engineering,Postgraduation,3 - 5 yrs,Education,1.71E+11,Mumbai,Assistant Professor - Stochastic Process Modelling & Analysis,1,Pay Scale: PB-3 (Rs.I5600-39100) with AGP of Rs.8000/- p.m.,5/17/16,Post Graduate,
Indian Institute of Technology Bombay,Postgraduation,6 - 11 yrs,Education,1.71E+11,Mumbai,Associate Professor - Heat Transfer,1,"Pay Band: PB4 (Rs.3740067000) with Academic Grade Pay of Rs.9,500/p.m.",8/17/16,Post Graduate,
Indian Institute of Technology Bombay,Postgraduation,3 - 5 yrs,Education,1.61E+11,Mumbai,Assistant Professor - Public policy,1,"Pay Band: PB3 (Rs.15600-39100) with Academic Grade Pay of Rs.8,000/p. m.",8/16/16,Post Graduate,
National Institute of Industrial Engineering,Postgraduation,3 - 5 yrs,Education,1.71E+11,Mumbai,Assistant Professor - Costing & Bidding,1,Pay Scale: PB-3 (Rs.I5600-39100) with AGP of Rs.8000/- p.m.,5/17/16,Post Graduate,
National Institute of Industrial Engineering,Postgraduation,6 - 11 yrs,Education,1.71E+11,Mumbai,Associate Professor - Decision Sciences,1,"Pay Scale: PB-4 (Rs.37400-67000) with AGP of Rs.9500/- p.m. For direct recruits, minimum pay in the pay band to be fixed at Rs.42800/-.",5/17/16,Post Graduate,
National Institute of Industrial Engineering,Postgraduation,3 - 5 yrs,Education,1.71E+11,Mumbai,Assistant Professor - Facilities Planning,1,Pay Scale: PB-3 (Rs.I5600-39100) with AGP of Rs.8000/- p.m.,5/17/16,Post Graduate,
National Institute of Industrial Engineering,Postgraduation,6 - 11 yrs,Education,1.71E+11,Mumbai,Associate Professor - Mathematical Modelling Of Pollution & Climate,1,"Pay Scale: PB-4 (Rs.37400-67000) with AGP of Rs.9500/- p.m. For direct recruits, minimum pay in the pay band to be fixed at Rs.42800/-.",5/17/16,Post Graduate,
Indian Institute of Technology Bombay,Postgraduation,3 - 5 yrs,Education,1.61E+11,Mumbai,Assistant Professor - Theoretical Condensed Matter Physics (Many body theory),1,"Pay Band: PB3 (Rs.15600-39100) with Academic Grade Pay of Rs.8,000/p. m.",8/16/16,Post Graduate,
National Institute of Industrial Engineering,Postgraduation,6 - 11 yrs,Education,1.71E+11,Mumbai,Associate Professor - Decision Making Under Uncertainty,1,"Pay Scale: PB-4 (Rs.37400-67000) with AGP of Rs.9500/- p.m. For direct recruits, minimum pay in the pay band to be fixed at Rs.42800/-.",5/17/16,Post Graduate,
Indian Institute of Technology Bombay,Postgraduation,6 - 11 yrs,Education,1.61E+11,Mumbai,Associate Professor - Vibration and NoiseControl,1,"Pay Band: PB4 (Rs.3740067000) with Academic Grade Pay of Rs.9,500/p.m.",8/16/16,Post Graduate,
Bonace Engineering,Any Graduate,1 - 6 yrs,Energy,90116004100,"Mumbai, Haldia, Kolkata",Sales Executive,6,Not Disclosed by Recruiter,01/09/2016,,
APPIER,"Any Graduate PostgraduateMBA/PGDM, Any Postgraduate",2 - 7 yrs,IT Software Services,81116500438,Mumbai,Sales Manager,1,Not Disclosed by Recruiter,11/08/2016,Post Graduate,
National Institute of Industrial Engineering,Postgraduation,6 - 11 yrs,Education,1.71E+11,Mumbai,Associate Professor - Industrial Marketing,1,Pay Scale: PB-4 (Rs.37400-67000) with AGP of Rs.9500/- p.m.,5/17/16,Post Graduate,
National Institute of Industrial Engineering,Postgraduation,6 - 11 yrs,Education,1.71E+11,Mumbai,Associate Professor - Work System Design,1,"Pay Scale: PB-4 (Rs.37400-67000) with AGP of Rs.9500/- p.m.For direct recruits, minimum pay in the pay band to be fixed at Rs.42800/-.",5/17/16,Post Graduate,
Trupti Placements,Any Graduate,1 - 6 yrs,Biotech,1.01E+11,Mumbai,Pharma Req Regional Sales Manager-derma for Mumbai,1,Not Disclosed by Recruiter,11/09/2016,,
Quess Corp Ltd.,Postgraduation,4 - 9 yrs,IT Software Services,81116600608,"Bengaluru, Mumbai","Asp.net, RPA Opening - Top MNC and CMM L5 Co",1,Not Disclosed by Recruiter,11/07/2016,Post Graduate,
National Institute of Industrial Engineering,Postgraduation,3 - 5 yrs,Education,1.71E+11,Mumbai,Assistant Professor - Industrial Engineering,1,Pay Scale: PB-3 (Rs.I5600-39100) with AGP of Rs.8000/- p.m.,5/17/16,Post Graduate,
National Institute of Industrial Engineering,Postgraduation,10 - 15 yrs,Education,1.71E+11,Mumbai,Professor - Product & Process Costing,1,"Pay Scale: PB-4 (Rs.37400-67000) with AGP of Rs.10500/- p.m. For direct recruits, minimum pay in the pay band to be fixed at Rs.48000/--.",5/17/16,Post Graduate,
Indian Institute of Technology Bombay,Postgraduation,3 - 5 yrs,Education,1.61E+11,Mumbai,AssistantÂ Professor - Navigation,1,"Pay Band: PB3 (Rs.15600-39100) with Academic Grade Pay of Rs.8,000/p. m.",8/16/16,Post Graduate,
Indian Institute of Technology Bombay,Postgraduation,6 - 11 yrs,Education,1.71E+11,Mumbai,Associate Professor - Electrochemical Engineering,1,"Pay Band: PB4 (Rs.3740067000) with Academic Grade Pay of Rs.9,500/p.m.",8/17/16,Post Graduate,
National Institute of Industrial Engineering,Postgraduation,10 - 15 yrs,Education,1.71E+11,Mumbai,Professor - Industrial Marketing,1,"Pay Scale: PB-4 (Rs.37400-67000) with AGP of Rs.10500/- p.m. For direct recruits, minimum pay in the pay band to be fixed at Rs.48000/--.",5/17/16,Post Graduate,
Indian Institute of Technology Bombay,Postgraduation,10 - 15 yrs,Education,1.61E+11,Mumbai,Professor - Industrial Engineering and Operations Research,1,"Pay Band: PB4 (Rs.3740067000) with Academic Grade Pay of Rs.10,500/p.m.",8/16/16,Post Graduate,
National Institute of Industrial Engineering,Postgraduation,3 - 5 yrs,Education,1.71E+11,Mumbai,Assistant Professor - Project Engineering,1,Pay Scale: PB-3 (Rs.I5600-39100) with AGP of Rs.8000/- p.m.,5/17/16,Post Graduate,
Indian Institute of Technology Bombay,Postgraduation,10 - 15 yrs,Education,1.61E+11,Mumbai,Professor - Decision Sciences/Quantitative Methods,1,"Pay Band: PB4 (Rs.3740067000) with Academic Grade Pay of Rs.10,500/p.m.",8/16/16,Post Graduate,
Indian Institute of Technology Bombay,Postgraduation,6 - 11 yrs,Education,1.71E+11,Mumbai,Associate Professor - Solar Thermal,1,"Pay Band: PB4 (Rs.3740067000) with Academic Grade Pay of Rs.9,500/p.m.",8/17/16,Post Graduate,
Indian Institute of Technology Bombay,Postgraduation,3 - 5 yrs,Education,1.71E+11,Mumbai,Assistant Professor - Oceanography,1,"Pay Band: PB3 (Rs.15600-39100) with Academic Grade Pay of Rs.8,000/p. m.",8/17/16,Post Graduate,
Indian Institute of Technology Bombay,Postgraduation,3 - 5 yrs,Education,1.71E+11,Mumbai,Assistant Professor - Mathematical economics,1,"Pay Band: PB3 (Rs.15600-39100) with Academic Grade Pay of Rs.8,000/p. m.",8/17/16,Post Graduate,
Indian Institute of Technology Bombay,Postgraduation,6 - 11 yrs,Education,1.61E+11,Mumbai,AssociateÂ Professor - GuidanceÂ and,1,"Pay Band: PB4 (Rs.3740067000) with Academic Grade Pay of Rs.9,500/p.m.",8/16/16,Post Graduate,
OPPO Mobiles India Pvt. Ltd,Any Graduate,1 - 4 yrs,Telecom/ISP,91116600109,Mumbai,Required Executive Mis - Male - Mumbai (virar),1,Not Disclosed by Recruiter,11/08/2016,,
National Institute of Industrial Engineering,Postgraduation,10 - 15 yrs,Education,1.71E+11,Mumbai,Professor - Internet Of Things,1,"Pay Scale: PB-4 (Rs.37400-67000) with AGP of Rs.10500/- p.m. For direct recruits, minimum pay in the pay band to be fixed at Rs.48000/--.",5/17/16,Post Graduate,
Jobtrack Management Services Pvt. Ltd.,"B.Sc - Any Specialization, Computers, BCA - Computers PostgraduateMCA - Computers, MS/M.Sc(Science) - Any Specializat",0 - 0 yrs,IT Software Services,1.60E+11,Mumbai,Application Support Consultant for Dadar,1,"50,000 - 2,00,000 P.A",3/14/16,Post Graduate,Under Graduate
Indian Institute of Technology Bombay,Postgraduation,6 - 11 yrs,Education,1.71E+11,Mumbai,Associate Professor - Intellectual Property Rights,1,"Pay Band: PB4 (Rs.3740067000) with Academic Grade Pay of Rs.9,500/p.m.",8/17/16,Post Graduate,
staffio HR,Any Graduate,8 - 13 yrs,Recruitment,51116500050,Mumbai,National Sales Head (IT Hardware/Consumer Electronics),1,Not Disclosed by Recruiter,11/05/2016,,
Tata Communications Ltd,B.Tech/B.E. PostgraduatePost Graduation Not Required,4 - 7 yrs,Telecom/ISP,91116500190,Mumbai,Manager - Corporate Communications,1,Not Disclosed by Recruiter,11/09/2016,Post Graduate,Under Graduate
HRD House,"B.Sc - Any Specialization, B.Pharma - Pharmacy PostgraduateM.Sc - Any Specialization, M.Pharma - Pharmacy Doctorate:A",10 - 15 yrs,Food Processing,51116600359,"Mumbai Suburbs, Mumbai",AGM Accounts & Taxation ( Food Company - EOU ),1,Not Disclosed by Recruiter,11/04/2016,Post Graduate,Under Graduate
Indian Institute of Technology Bombay,Postgraduation,3 - 5 yrs,Education,1.61E+11,Mumbai,Assistant Professor - Process Integration,1,"Pay Band: PB3 (Rs.15600-39100) with Academic Grade Pay of Rs.8,000/p. m.",8/16/16,Post Graduate,
National Institute of Industrial Engineering,Postgraduation,3 - 5 yrs,Education,1.71E+11,Mumbai,Assistant Professor - Energy Modelling,1,Pay Scale: PB-3 (Rs.I5600-39100) with AGP of Rs.8000/- p.m.,5/17/16,Post Graduate,
National Institute of Industrial Engineering,Postgraduation,6 - 11 yrs,Education,1.71E+11,Mumbai,Associate Professor - Financial Management,1,"Pay Scale: PB-4 (Rs.37400-67000) with AGP of Rs.9500/- p.m. For direct recruits, minimum pay in the pay band to be fixed at Rs.42800/-.",5/17/16,Post Graduate,
Indian Institute of Technology Bombay,Postgraduation,10 - 15 yrs,Education,1.61E+11,Mumbai,Professor - Forestry and Ecology,1,"Pay Band: PB4 (Rs.3740067000) with Academic Grade Pay of Rs.10,500/p.m.",8/16/16,Post Graduate,
National Institute of Industrial Engineering,Postgraduation,6 - 11 yrs,Education,1.71E+11,Mumbai,Associate Professor - Environmental Modelling,1,"Pay Scale: PB-4 (Rs.37400-67000) with AGP of Rs.9500/- p.m. For direct recruits, minimum pay in the pay band to be fixed at Rs.42800/-.",5/17/16,Post Graduate,
Adecco India Private Limited,Any Graduate,5 - 10 yrs,IT Software Services,51116600059,"Bengaluru, Mumbai","Mulesoft with Client(cmml5),bangalore/mumbai",1,Not Disclosed by Recruiter,11/04/2016,,
National Institute of Industrial Engineering,Postgraduation,3 - 5 yrs,Education,1.71E+11,Mumbai,Assistant Professor - Simulation Modelling & Output Analysis,1,Pay Scale: PB-3 (Rs.I5600-39100) with AGP of Rs.8000/- p.m.,5/17/16,Post Graduate,
Indian Institute of Technology Bombay,Postgraduation,6 - 11 yrs,Education,1.71E+11,Mumbai,Associate Professor - Research Methods,1,"Pay Band: PB4 (Rs.3740067000) with Academic Grade Pay of Rs.9,500/p.m.",8/17/16,Post Graduate,
National Institute of Industrial Engineering,Postgraduation,10 - 15 yrs,Education,1.71E+11,Mumbai,Professor - Simulation Modelling & Output Analysis,1,Pay Scale: PB-4 (Rs.37400-67000) with AGP of Rs.10500/- p.m.,5/17/16,Post Graduate,
Indian Institute of Technology Bombay,Postgraduation,3 - 5 yrs,Education,1.61E+11,Mumbai,"Assistant Professor - Snow, Glaciers, Ice studies",1,"Pay Band: PB3 (Rs.15600-39100) with Academic Grade Pay of Rs.8,000/p. m.",8/16/16,Post Graduate,
Indian Institute of Technology Bombay,Postgraduation,10 - 15 yrs,Education,1.61E+11,Mumbai,Professor - Development Economics,1,"Pay Band: PB4 (Rs.3740067000) with Academic Grade Pay of Rs.10,500/p.m.",8/16/16,Post Graduate,
Indian Institute of Technology Bombay,Postgraduation,3 - 5 yrs,Education,1.61E+11,Mumbai,Assistant Professor - Quatum Computing (Experimental),1,"Pay Band: PB3 (Rs.15600-39100) with Academic Grade Pay of Rs.8,000/p. m.",8/16/16,Post Graduate,
National Institute of Industrial Engineering,Postgraduation,10 - 15 yrs,Education,1.71E+11,Mumbai,Professor - Big Data & Cloud Computing,1,"Pay Scale: PB-4 (Rs.37400-67000) with AGP of Rs.10500/- p.m. For direct recruits, minimum pay in the pay band to be fixed at Rs.48000/--.",5/17/16,Post Graduate,
Indian Institute of Technology Bombay,Postgraduation,6 - 11 yrs,Education,1.71E+11,Mumbai,Associate Professor - Manufacturing Engineering,1,"Pay Band: PB4 (Rs.3740067000) with Academic Grade Pay of Rs.9,500/p.m.",8/17/16,Post Graduate,
Indian Institute of Technology Bombay,Postgraduation,3 - 5 yrs,Education,1.61E+11,Mumbai,Assistant Professor - Transport and Separation Processes,1,"Pay Band: PB3 (Rs.15600-39100) with Academic Grade Pay of Rs.8,000/p. m.",8/16/16,Post Graduate,
Indian Institute of Technology Bombay,Postgraduation,3 - 5 yrs,Education,1.61E+11,Mumbai,Assistant Professor - Sustainable Development (Policies and Actions),1,"Pay Band: PB3 (Rs.15600-39100) with Academic Grade Pay of Rs.8,000/p. m.",8/16/16,Post Graduate,
Indian Institute of Technology Bombay,Postgraduation,6 - 11 yrs,Education,1.61E+11,Mumbai,AssociateÂ Professor - Aerospace,1,"Pay Band: PB4 (Rs.3740067000) with Academic Grade Pay of Rs.9,500/p.m.",8/16/16,Post Graduate,
HDFC Std life,Postgraduation,4 - 6 yrs,Insurance,81116600151,Mumbai,Assistant Branch Manager - Direct Sales - TAD,1,Not Disclosed by Recruiter,11/07/2016,Post Graduate,
Indian Institute of Technology Bombay,Postgraduation,3 - 5 yrs,Education,1.61E+11,Mumbai,Assistant Professor - Research Methods,1,"Pay Band: PB3 (Rs.15600-39100) with Academic Grade Pay of Rs.8,000/p. m.",8/16/16,Post Graduate,
Indian Institute of Technology Bombay,Postgraduation,3 - 5 yrs,Education,1.71E+11,Mumbai,Assistant Professor - Metallurgical Engineering and Materials Science,1,"Pay Band: PB3 (Rs.15600-39100) with Academic Grade Pay of Rs.8,000/p. m.",8/17/16,Post Graduate,
Indian Institute of Technology Bombay,Postgraduation,6 - 11 yrs,Education,1.71E+11,Mumbai,Associate Professor - Marketing,1,"Pay Band: PB4 (Rs.3740067000) with Academic Grade Pay of Rs.9,500/p.m.",8/17/16,Post Graduate,
Quess Corp Ltd.,Postgraduation,2 - 7 yrs,IT Software Services,81116600621,"Bengaluru, Chennai, Mumbai, Gurgaon, Hyderabad",Sitecore Developer with CMM Level 5 @ Ban/che/hyd/mumbai/gurgaon,1,Not Disclosed by Recruiter,11/07/2016,Post Graduate,
staffio HR,Any Graduate,5 - 8 yrs,Recruitment,51116500049,Mumbai,Manager National Sales operations,1,Not Disclosed by Recruiter,11/05/2016,,
Indian Institute of Technology Bombay,Postgraduation,10 - 15 yrs,Education,1.61E+11,Mumbai,Professor - Information Systems,1,"Pay Band: PB4 (Rs.3740067000) with Academic Grade Pay of Rs.10,500/p.m.",8/16/16,Post Graduate,
Indian Institute of Technology Bombay,Postgraduation,3 - 5 yrs,Education,1.71E+11,Mumbai,Assistant Professor - Photonics,1,"Pay Band: PB3 (Rs.15600-39100) with Academic Grade Pay of Rs.8,000/p. m.",8/17/16,Post Graduate,
HRD House,"B.Sc - Any Specialization, B.Pharma - Pharmacy PostgraduateM.Sc - Any Specialization, M.Pharma - Pharmacy Doctorate:A",5 - 10 yrs,Biotech,51116600435,Mumbai,Manager/ AGM- (exports) (pharma -latam Countries),1,Not Disclosed by Recruiter,11/04/2016,Post Graduate,Under Graduate
ANRI SOLUTIONS HR SERVICES PVT LTD,Any Graduate,3 - 6 yrs,Finance,91116600078,Mumbai,Am-financial Due Diligence,1,Not Disclosed by Recruiter,11/08/2016,,
Indian Institute of Technology Bombay,Postgraduation,10 - 15 yrs,Education,1.61E+11,Mumbai,Professor - Medical Instrumentation and Microbiosensors,1,"Pay Band: PB4 (Rs.3740067000) with Academic Grade Pay of Rs.10,500/p.m.",8/16/16,Post Graduate,
Indian Institute of Technology Bombay,Postgraduation,6 - 11 yrs,Education,1.71E+11,Mumbai,Associate Professor - Metallurgical Engineering and Materials Science,1,"Pay Band: PB4 (Rs.3740067000) with Academic Grade Pay of Rs.9,500/p.m.",8/17/16,Post Graduate,
Indian Institute of Technology Bombay,Postgraduation,10 - 15 yrs,Education,1.61E+11,Mumbai,Professor - Process Systems Engineering & Control,1,"Pay Band: PB4 (Rs.3740067000) with Academic Grade Pay of Rs.10,500/p.m.",8/16/16,Post Graduate,
Indian Institute of Technology Bombay,Postgraduation,10 - 15 yrs,Education,1.61E+11,Mumbai,Professor - Communication Networks,1,"Pay Band: PB4 (Rs.3740067000) with Academic Grade Pay of Rs.10,500/p.m.",8/16/16,Post Graduate,
NMD PLACEMENT CONSULTANCY PVT. LTD,Any Graduate,0 - 3 yrs,Banking,1.01E+11,"Chennai, Mumbai",Acquisition Manager in Upcoming Banking-tamilnadu & Mumbai,1,"3,00,000 - 4,00,000 P.A",11/09/2016,,
The LEELA Palace,"BHM PostgraduatePost Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",3 - 5 yrs,Travel,41116500017,Mumbai,Senior Sales Account Manager Corporate Sales,1,Not Disclosed by Recruiter,11/04/2016,Post Graduate,
Indian Institute of Technology Bombay,Postgraduation,10 - 15 yrs,Education,1.61E+11,Mumbai,Professor - Logistics,1,"Pay Band: PB4 (Rs.3740067000) with Academic Grade Pay of Rs.10,500/p.m.",8/16/16,Post Graduate,
National Institute of Industrial Engineering,Postgraduation,6 - 11 yrs,Education,1.71E+11,Mumbai,Associate Professor - Product & Process Costing,1,"Pay Scale: PB-4 (Rs.37400-67000) with AGP of Rs.9500/- p.m. For direct recruits, minimum pay in the pay band to be fixed at Rs.42800/-.",5/17/16,Post Graduate,
National Institute of Industrial Engineering,Postgraduation,10 - 15 yrs,Education,1.71E+11,Mumbai,Professor - Costing & Bidding,1,Pay Scale: PB-4 (Rs.37400-67000) with AGP of Rs.10500/- p.m.,5/17/16,Post Graduate,
Indian Institute of Technology Bombay,Postgraduation,3 - 5 yrs,Education,1.61E+11,Mumbai,Assistant Professor - Theoretical Quantum Optics,1,"Pay Band: PB3 (Rs.15600-39100) with Academic Grade Pay of Rs.8,000/p. m.",8/16/16,Post Graduate,
Indian Institute of Technology Bombay,Postgraduation,10 - 15 yrs,Education,1.61E+11,Mumbai,Professor - Corporate Law and Communication,1,"Pay Band: PB4 (Rs.3740067000) with Academic Grade Pay of Rs.10,500/p.m.",8/16/16,Post Graduate,
APPIER,"Any Graduate PostgraduateMBA/PGDM, Any Postgraduate",2 - 7 yrs,IT Software Services,81116500423,Mumbai,Sales Director,1,Not Disclosed by Recruiter,11/08/2016,Post Graduate,
Indian Institute of Technology Bombay,Postgraduation,3 - 5 yrs,Education,1.71E+11,Mumbai,Assistant Professor - Grid connection of renewables,1,"Pay Band: PB3 (Rs.1560039100) with Academic Grade Pay of Rs.8,000/p.m.",8/17/16,Post Graduate,
Indian Institute of Technology Bombay,Postgraduation,10 - 15 yrs,Education,1.61E+11,Mumbai,Professor - Solar Thermal,1,"Pay Band: PB4 (Rs.3740067000) with Academic Grade Pay of Rs.10,500/p.m.",8/16/16,Post Graduate,
Indian Institute of Technology Bombay,Postgraduation,6 - 11 yrs,Education,1.71E+11,Mumbai,Associate Professor - System Design,1,"Pay Band: PB4 (Rs.3740067000) with Academic Grade Pay of Rs.9,500/p.m.",8/17/16,Post Graduate,
National Institute of Industrial Engineering,Postgraduation,10 - 15 yrs,Education,1.71E+11,Mumbai,Professor - Information Technology,1,"Pay Scale: PB-4 (Rs.37400-67000) with AGP of Rs.10500/- p.m. For direct recruits, minimum pay in the pay band to be fixed at Rs.48000/--.",5/17/16,Post Graduate,
National Institute of Industrial Engineering,Postgraduation,6 - 11 yrs,Education,1.71E+11,Mumbai,Associate Professor - Quality Management,1,"Pay Scale: PB-4 (Rs.37400-67000) with AGP of Rs.9500/- p.m. For direct recruits, minimum pay in the pay band to be fixed at Rs.42800/-.",5/17/16,Post Graduate,
Indian Institute of Technology Bombay,Postgraduation,6 - 11 yrs,Education,1.71E+11,Mumbai,Associate Professor - Technology and Society,1,"Pay Band: PB4 (Rs.3740067000) with Academic Grade Pay of Rs.9,500/p.m.",8/17/16,Post Graduate,
First Call H Resource P. Ltd,Postgraduation,9 - 14 yrs,BPO,81116600784,"Delhi, Mumbai",Sr. Manager / Manager,1,Not Disclosed by Recruiter,11/07/2016,Post Graduate,
Indian Institute of Technology Bombay,Postgraduation,6 - 11 yrs,Education,1.71E+11,Mumbai,Associate Professor - Quality and Maintenance Systems,1,"Pay Band: PB4 (Rs.3740067000) with Academic Grade Pay of Rs.9,500/p.m.",8/17/16,Post Graduate,
National Institute of Industrial Engineering,Postgraduation,10 - 15 yrs,Education,1.71E+11,Mumbai,Professor - Data Analytics,1,Pay Scale: PB-4 (Rs.37400-67000) with AGP of Rs.10500/- p.m.,5/17/16,Post Graduate,
National Institute of Industrial Engineering,Postgraduation,10 - 15 yrs,Education,1.71E+11,Mumbai,Professor - Manufacturing Process Design & Management,1,Pay Scale: PB-4 (Rs.37400-67000) with AGP of Rs.10500/- p.m.,5/17/16,Post Graduate,
Indian Institute of Technology Bombay,Postgraduation,6 - 11 yrs,Education,1.71E+11,Mumbai,Associate Professor - Strategic Management,1,"Pay Band: PB4 (Rs.3740067000) with Academic Grade Pay of Rs.9,500/p.m.",8/17/16,Post Graduate,
Indian Institute of Technology Bombay,Postgraduation,6 - 11 yrs,Education,1.71E+11,Mumbai,Associate Professor - Systems Science (Theory and Applications),1,"Pay Band: PB4 (Rs.3740067000) with Academic Grade Pay of Rs.9,500/p.m.",8/17/16,Post Graduate,
Quotient Consultancy,Any Graduate,3 - 8 yrs,Banking,81116600645,"Mumbai Suburbs, Mumbai",Pref / Imperia RM : Leading Bank : Mumbai,1,Not Disclosed by Recruiter,11/07/2016,,
Samridhi Placements,Any Graduate,7 - 12 yrs,Telecom/ISP,81116600475,Mumbai,Required Lead BD - Enterprise Voice - Leading Telecom Group - Mumbai,1,Not Disclosed by Recruiter,11/07/2016,,
Opteemize hiring for One of our US based clients is expanding its footprints in India.,Postgraduation,10 - 12 yrs,Other,1.31E+11,Mumbai,Senior Manager / Associate Director / Head - Operations,1,"12,00,000 - 15,00,000 P.A",11/21/15,,
Indian Institute of Technology Bombay,Postgraduation,3 - 5 yrs,Education,1.61E+11,Mumbai,Assistant Professor - Ultra Fast Laser Spectroscopy,1,"Pay Band: PB3 (Rs.15600-39100) with Academic Grade Pay of Rs.8,000/p. m.",8/16/16,,
BIO JOBZ( Medulla Recruitment Services Pvt Ltd),"B.Tech/B.E. - Any Specialization, Mechanical",10 - 12 yrs,Biotech,51116600608,Mumbai,Project Management,1,Not Disclosed by Recruiter,11/04/2016,,Under Graduate
Kanban infosystem private limited,Postgraduation,6 - 10 yrs,IT Software Services,1.01E+11,"Mumbai, Mumbai Suburbs, Navi Mumbai, Mumbai",Java Lead || Product Based Cmmi L5 @ Goregaon(mumbai) || 6-10 Yrs,10,Not Disclosed by Recruiter,11/09/2016,,
Games2win India Pvt.Ltd,Any Graduate PostgraduatePost Graduation Not Required,5 - 7 yrs,Internet,41116500073,Mumbai,Graphic Designer Visualizer,1,Not Disclosed by Recruiter,11/04/2016,Post Graduate,
Indian Institute of Technology Bombay,Postgraduation,3 - 5 yrs,Education,1.61E+11,Mumbai,Assistant Professor - Seismics/Seismology,1,"Pay Band: PB3 (Rs.15600-39100) with Academic Grade Pay of Rs.8,000/p. m.",8/16/16,,
National Institute of Industrial Engineering,Postgraduation,10 - 15 yrs,Education,1.71E+11,Mumbai,Professor - Corporate Strategy,1,"Pay Scale: PB-4 (Rs.37400-67000) with AGP of Rs.10500/- p.m. For direct recruits, minimum pay in the pay band to be fixed at Rs.48000/--.",5/17/16,,
Indian Institute of Technology Bombay,Postgraduation,10 - 15 yrs,Education,1.61E+11,Mumbai,Professor - Natural Hazards and Disaster Management,1,"Pay Band: PB4 (Rs.3740067000) with Academic Grade Pay of Rs.10,500/p.m.",8/16/16,,
Indian Institute of Technology Bombay,Postgraduation,10 - 15 yrs,Education,1.61E+11,Mumbai,Professor - Sociology of Development,1,"Pay Band: PB4 (Rs.3740067000) with Academic Grade Pay of Rs.10,500/p.m.",8/16/16,,
Sanmax Technologies (P) Limited,Any Graduate PostgraduateMBA/PGDM,5 - 8 yrs,IT Software Services,81116500700,Mumbai,Regional Sales Manager,1,Not Disclosed by Recruiter,11/08/2016,Post Graduate,
National Institute of Industrial Engineering,Postgraduation,10 - 15 yrs,Education,1.71E+11,Mumbai,Professor - Project Engineering,1,Pay Scale: PB-4 (Rs.37400-67000) with AGP of Rs.10500/- p.m.,5/17/16,,
Menschen Consulting Pvt Ltd,Postgraduation,5 - 10 yrs,Healthcare,81116600339,"Mumbai, Navi Mumbai, Mumbai Suburbs",Urgent Opening For Hr Operation (mazagaon),1,Not Disclosed by Recruiter,11/07/2016,,
HRD House,"B.Sc - Any Specialization, B.Pharma - Pharmacy PostgraduateM.Sc - Any Specialization, M.Pharma - Pharmacy Doctorate:A",2 - 5 yrs,Biotech,51116600388,Mumbai,Executive Assistant Cum Sales Coordinator to VP - Pharma Co. Mumbai,1,Not Disclosed by Recruiter,11/04/2016,Post Graduate,Under Graduate
National Institute of Industrial Engineering,Postgraduation,10 - 15 yrs,Education,1.71E+11,Mumbai,Professor - Mathematical Modelling Of Pollution & Climate,1,"Pay Scale: PB-4 (Rs.37400-67000) with AGP of Rs.10500/- p.m. For direct recruits, minimum pay in the pay band to be fixed at Rs.48000/--.",5/17/16,,
Indian Institute of Technology Bombay,Postgraduation,3 - 5 yrs,Education,1.71E+11,Mumbai,Assistant Professor - Micro/nanoelectronics,1,"Pay Band: PB3 (Rs.15600-39100) with Academic Grade Pay of Rs.8,000/p. m.",8/17/16,,
Indian Institute of Technology Bombay,Postgraduation,10 - 15 yrs,Education,1.61E+11,Mumbai,Professor - Agricultural Economics,1,"Pay Band: PB4 (Rs.3740067000) with Academic Grade Pay of Rs.10,500/p.m.",8/16/16,,
Indian Institute of Technology Bombay,Postgraduation,6 - 11 yrs,Education,1.71E+11,Mumbai,Associate Professor - Statistical Mechanics of Granular Materials & Polymers,1,"Pay Band: PB4 (Rs.3740067000) with Academic Grade Pay of Rs.9,500/p.m.",8/17/16,,
Indian Institute of Technology Bombay,Postgraduation,6 - 11 yrs,Education,1.71E+11,Mumbai,Associate Professor - Interfacial Science & Engineering,1,"Pay Band: PB4 (Rs.3740067000) with Academic Grade Pay of Rs.9,500/p.m.",8/17/16,,
AERONUBE TECHNOLOGY PRIVATE LIMITED,Any Graduate,8 - 13 yrs,Telecom/ISP,91116600612,Navi Mumbai,Sr Manager / DGM / Navi Mumbai / IT Conglomerate,2,Not Disclosed by Recruiter,11/08/2016,,
